type,date,side,price,size,cost,commission,balance,stop_loss,take_profit,pnl,pnl_pct,reason
entry,2025-03-15 02:15:00,SELL,2.5023,113528947095.0076,14204174215.791876,5681669.686316751,39766006134.531006,2.5723644,2.2921068,,,
exit,2025-03-15 04:30:00,,2.5168,113528947095.0076,,5714593.080974302,52318296024.3643,,,-1651884325.9585798,-11.629569595971672,signal_reversal
entry,2025-03-15 04:30:00,BUY,2.5168,148483039756.73267,18685105722.987236,7474042.289194895,52310821982.07511,2.4463296,2.7282112,,,
exit,2025-03-15 04:45:00,,2.5023,148483039756.73267,,7430982.207665443,68835492646.38206,,,-2160435058.6802826,-11.56233788938331,signal_reversal
entry,2025-03-15 04:45:00,SELL,2.5023,196492063434.16037,24584104516.564976,9833641.80662599,68825659004.57544,2.5723644,2.2921068,,,
exit,2025-03-15 05:00:00,,2.5168,196492063434.16037,,9890624.505021896,90550737976.84007,,,-2859025544.300339,-11.629569595971672,signal_reversal
entry,2025-03-15 05:00:00,BUY,2.5168,256989425281.65024,32339549277.442863,12935819.710977146,90537802157.12909,2.4463296,2.7282112,,,
exit,2025-03-15 05:15:00,,2.5023,256989425281.65024,,12861292.777645469,119138143475.21039,,,-3739207959.361563,-11.562337889383311,signal_reversal
entry,2025-03-15 05:15:00,SELL,2.5023,340081820368.7183,42549336955.43219,17019734.782172877,119121123740.42822,2.5723644,2.2921068,,,
exit,2025-03-15 07:00:00,,2.524,340081820368.7183,,17167330.2922129,154273517863.567,,,-7396942832.293418,-17.384390360868043,signal_reversal
entry,2025-03-15 07:00:00,BUY,2.524,436590213560.01483,55097684951.27388,22039073.980509553,154251478789.5865,2.453328,2.7360160000000002,,,
exit,2025-03-15 09:15:00,,2.5023,436590213560.01483,,21849593.827824503,199853306512.7802,,,-9495857228.080168,-17.23458478605392,signal_reversal
entry,2025-03-15 09:15:00,SELL,2.5023,570484601346.1326,71376180897.42137,28550472.35896855,199824756040.42123,2.5723644,2.2921068,,,
exit,2025-03-15 09:45:00,,2.5241,570484601346.1326,,28799203.645155463,258735573424.85187,,,-12465363512.990742,-17.464318427046972,signal_reversal
entry,2025-03-15 09:45:00,BUY,2.5241,732186220335.543,92405561937.44719,36962224.774978876,258698611200.07687,2.4534252,2.7361244,,,
exit,2025-03-15 10:15:00,,2.5023,732186220335.543,,36642991.58291259,335105870542.62646,,,-15998302594.897617,-17.31313814825072,signal_reversal
entry,2025-03-15 10:15:00,SELL,2.5023,956565304327.5211,119680668050.93779,47872267.22037512,335057998275.40607,2.5723644,2.2921068,,,
exit,2025-03-15 10:30:00,,2.5241,956565304327.5211,,48289329.69306192,433837253362.31104,,,-20901412964.03285,-17.464318427046972,signal_reversal
entry,2025-03-15 10:30:00,BUY,2.5241,1227699981782.2239,154941876200.82556,61976750.48033023,433775276611.8307,2.4534252,2.7361244,,,
exit,2025-03-15 13:15:00,,2.5022,1227699981782.2239,,61439017.88830962,561769084193.7378,,,-26948068618.918503,-17.392372726912235,signal_reversal
entry,2025-03-15 13:15:00,SELL,2.5022,1603643320146.0874,200631815783.477,80252726.3133908,561688831467.4244,2.5722616000000005,2.2920152000000003,,,
exit,2025-03-15 17:30:00,,2.5241,1603643320146.0874,,80955122.08761477,727119903417.6152,,,-35200743833.28627,-17.54494604747789,signal_reversal
entry,2025-03-15 17:30:00,BUY,2.5241,2057649695273.608,259685679792.00568,103874271.91680227,727016029145.6985,2.4534252,2.7361244,,,
exit,2025-03-15 20:45:00,,2.5022,2057649695273.608,,102973021.35027245,941536207589.8628,,,-45165501347.84144,-17.392372726912235,signal_reversal
entry,2025-03-15 20:45:00,SELL,2.5022,2687738240605.008,336262931282.0926,134505172.51283705,941401702417.35,2.5722616000000005,2.2920152000000003,,,
exit,2025-03-16 01:45:00,,2.5247,2687738240605.008,,135714654.72110927,1217054808631.109,,,-60609825068.33369,-18.024533610422797,signal_reversal
